bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,is_proven,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Music","/explore/music","/projects/philanthro-buy-a-home-air-filter-help-an-orphan","2015-08-20T23:59:59-07:00","USD","15828","0.31656","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/puxee4ephgvcd8l2nm8f.jpg","false","false","false","null","2015-07-21T03:09:45-07:00","null","null","null","null","null","1341808","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","You buy a Philanthro air filter, we give at least 20% to help orphans-scroll down to learn more!","[""other""]","Philanthro: Buy a home air filter, help an orphan."
"null","Music","/explore/music","/projects/harley-rowell-music-debut","2015-09-05T23:59:59-07:00","USD","795","0.19875","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/cm59pm25jrh7rwvdpold.jpg","false","false","false","null","2015-07-07T08:59:39-07:00","null","null","null","null","null","1342679","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","I am the Worship Leader at Destiny Church in Daphne, Alabama! Help me produce my debut project!!","[""other""]","Harley Rowell Music Debut"
"null","Music","/explore/music","/projects/batdog-records-wants-you","2017-07-12T23:59:59-07:00","USD","611","0.611","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wuvdik5mn1nmbj42hrz8.jpg","false","false","false","null","2017-06-12T11:23:46-07:00","null","null","null","null","null","2141165","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","I wanna send you our artist albums, shirts, drawings, poems, ideas, and other cool stuff we find.","[""other""]","!batDOG! RECORDS WANTS YOU!"
"null","Music","/explore/music","/projects/youth-philharmonic-orchestra-camp-golubac-2017--2","2017-08-18T23:59:59-07:00","USD","909","0.303","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sgzsxafqdpcgcwzaftlh.jpg","false","false","false","null","2017-07-19T13:09:53-07:00","null","null","null","null","null","2169575","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Supporting young orchestra classical musicians and development of orchestral music in Serbia","[""other""]","Youth Philharmonic orchestra camp - Golubac 2017"
"null","Music","/explore/music","/projects/morf-music-2017-cd-worldwide","2017-06-14T23:59:59-07:00","GBP","1458","0.2916","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gyhjtt52f8dcrjprjfem.jpg","false","false","false","null","2017-05-15T13:04:30-07:00","null","null","null","null","null","2119539","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Get the 2017 early release CD from the viral lap guitarist 'Morf Music'! Available worldwide","[""guitars""]","Morf Music 2017 CD Worldwide!"
"null","Music","/explore/music","/projects/help-root-7-a-cappella-record-our-first-album","2017-07-13T23:59:59-07:00","USD","2600","0.52","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tvngtozuuw8xhbhlc9uh.jpg","false","false","false","null","2017-05-14T13:24:11-07:00","null","null","null","null","null","2117282","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","After 10+ years, Vermont-based Root 7 a cappella is recording our first album and music video!","[""other""]","Help Root 7 A Cappella Record Our First Album!"
"null","Music","/explore/music","/projects/frozen-dawn-unearthing-the-black-arts","2017-11-26T23:59:59-08:00","EUR","475","0.2375","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/a7wjutwnnhml0xehbrny.jpg","false","false","false","null","2017-10-12T00:57:25-07:00","null","null","null","null","null","2110302","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help FROZEN DAWN fund their new album! Ayuda FROZEN DAWN a financiar su nuevo album!","[""other""]","FROZEN DAWN - Unearthing the Black Arts"
"null","Music","/explore/music","/projects/help-tom-weeks-go-to-russia","2017-10-04T23:59:59-07:00","USD","1936","0.968","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/uljzqa8sduvsthdo1gbl.jpg","false","false","false","null","2017-09-04T22:32:37-07:00","null","null","null","null","null","2205826","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Tom has been selected to take part in the 2017 International Master-courses in Saint  Petersburg","[""other""]","Help Tom Weeks go to Russia"
"null","Music","/explore/music","/projects/el-violin-latino-vol-3-the-cuban-volume","2017-05-31T23:59:59-07:00","USD","8030","0.446111111111","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/z0kklkjbwbvrkqdbyyp9.jpg","false","false","false","null","2017-04-01T06:20:00-07:00","null","null","null","null","null","2073321","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Gregor Huebner's 3rd Album of Latin Jazz Compositions. This Production Focuses on Cuban Music.","[""other""]","El Violin Latino - Vol. 3: The Cuban Volume"
"null","Music","/explore/music","/projects/akashi-chains-debut-ep-and-support-funding","2017-11-25T23:59:59-08:00","USD","244","0.040666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/e3lbvb8jjuuqna3c8fyy.jpg","false","false","false","null","2017-09-26T09:19:31-07:00","null","null","null","null","null","2186216","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Support Akashi in his journey to becoming a Singer-Songwriter by contributing to his debut EP!","[""other""]","Akashi - 'Chains' Debut EP and Support Funding"
"null","Music","/explore/music","/projects/healing-by-charlie-pollard","2017-11-12T23:59:59-08:00","USD","257","0.514","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/skhqjlugrqru1ywqhwje.jpg","false","false","false","null","2017-09-13T14:34:08-07:00","null","null","null","null","null","2189373","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","An autobiographical collection of change and growth","[""other""]","Healing by Charlie Pollard"
"null","Music","/explore/music","/projects/handmade-guitar-picks-from-savage-custom-picks","2017-12-03T23:59:59-08:00","USD","172","0.0344","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wth6nsroqerug4mzi47w.jpg","false","false","false","null","2017-10-04T19:59:40-07:00","null","null","null","null","null","2229911","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We are raising funds to attain equipment needed to elevate the production variety of our business!","[""guitars""]","Handmade Guitar Picks from Savage Custom Picks"
"null","Music","/explore/music","/projects/the-vault-emily-musolino-s-3rd-studio-album","2017-05-13T23:59:59-07:00","USD","2297","0.2297","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tekmfu7phgwfotfhasua.jpg","false","false","false","null","2017-03-29T10:53:02-07:00","null","null","null","null","null","2078543","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The Vault will be Emily Musolino's first studio release in 3 years and by far her proudest work!","[""other""]","THE VAULT - Emily Musolino's 3rd studio album! "
"null","Music","/explore/music","/projects/yukika-goes-to-america-for-1-month-with-new-album","2017-06-28T23:59:59-07:00","USD","445","0.148333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/tw0zepp9g3nerquo6ntc.jpg","false","false","false","null","2017-05-29T22:10:39-07:00","null","null","null","null","null","2131364","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","YUKIKA will make a new CD album.
She go to the United States with it!
Please support her!","[""other""]","YUKIKA goes to America for 1 month with NEW ALBUM!"
"null","Music","/explore/music","/projects/help-shona-amy-get-to-banff-canada","2017-12-12T23:59:59-08:00","GBP","1070","0.513435700576","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hfksgen3gil99240tsa4.jpg","false","false","false","null","2017-10-13T03:52:45-07:00","null","null","null","null","null","2213804","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Shona Mooney & Amy Leach need some support raising funds to attend the Banff Centre Music Residency.","[""other""]","Help Shona & Amy Get to Banff, Canada!"
