Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-02-20,2020,2,20,Thursday,07,2020-07,9.2,9.3,8.69,9.0,256500,9.0,-0.024918694869252578,8.597142857142858,7.8234
2020-02-21,2020,2,21,Friday,07,2020-07,9.0,9.14,8.81,8.93,187900,8.93,-0.0077777438693575895,8.654285714285715,7.8666
2020-02-24,2020,2,24,Monday,08,2020-08,8.65,9.07,8.39,8.99,364100,8.99,0.006718864937508062,8.703571428571427,7.8988
2020-02-25,2020,2,25,Tuesday,08,2020-08,9.1,9.23,7.88,7.89,511200,7.89,-0.12235816825785661,8.674285714285714,7.907
2020-02-26,2020,2,26,Wednesday,08,2020-08,7.84,8.12,7.33,7.35,390600,7.35,-0.06844106096209057,8.575714285714286,7.9030000000000005
2020-02-27,2020,2,27,Thursday,08,2020-08,7.19,7.54,6.84,7.18,404200,7.18,-0.02312926238091484,8.465714285714286,7.8976
2020-02-28,2020,2,28,Friday,08,2020-08,6.75,7.28,6.63,7.28,333800,7.28,0.013927630064145324,8.382857142857143,7.8964
2020-03-02,2020,3,2,Monday,09,2020-09,7.25,7.82,7.17,7.55,532000,7.55,0.03708790839906051,8.30642857142857,7.908200000000001
2020-03-03,2020,3,3,Tuesday,09,2020-09,7.59,7.8,7.39,7.73,433100,7.73,0.023841036263749116,8.252857142857142,7.925
2020-03-04,2020,3,4,Wednesday,09,2020-09,7.84,8.79,7.84,8.64,437400,8.64,0.11772319818937582,8.272857142857143,7.9846
2020-03-05,2020,3,5,Thursday,09,2020-09,8.51,8.82,8.37,8.51,448200,8.51,-0.015046308943886366,8.291428571428572,8.0352
2020-03-06,2020,3,6,Friday,09,2020-09,8.21,8.67,8.09,8.43,355000,8.43,-0.009400695834830386,8.270714285714286,8.0722
2020-03-09,2020,3,9,Monday,10,2020-10,7.22,7.95,7.05,7.2,361600,7.2,-0.14590752685447228,8.13642857142857,8.0722
2020-03-10,2020,3,10,Tuesday,10,2020-10,7.33,7.38,6.77,7.26,728300,7.26,0.008333391834189907,7.9957142857142856,8.079600000000001
2020-03-11,2020,3,11,Wednesday,10,2020-10,7.05,7.16,6.32,6.36,636300,6.36,-0.12396695137653557,7.807142857142857,8.0712
2020-03-12,2020,3,12,Thursday,10,2020-10,6.1,6.18,4.94,5.47,828800,5.47,-0.13993715796212702,7.5600000000000005,8.044
2020-03-13,2020,3,13,Friday,10,2020-10,5.82,6.33,5.16,6.31,429300,6.31,0.15356493323712894,7.368571428571428,8.027999999999999
2020-03-16,2020,3,16,Monday,11,2020-11,5.25,5.61,5.0,5.21,520800,5.21,-0.1743264523942326,7.177142857142857,7.979400000000001
2020-03-17,2020,3,17,Tuesday,11,2020-11,5.32,6.0,4.91,5.77,534500,5.77,0.10748559283671622,7.064285714285714,7.944
2020-03-18,2020,3,18,Wednesday,11,2020-11,5.6,5.7,4.38,4.57,469300,4.57,-0.20797223799512865,6.877857142857144,7.8914
2020-03-19,2020,3,19,Thursday,11,2020-11,4.57,5.43,4.42,4.86,498500,4.86,0.06345731968487023,6.705,7.841800000000001
