Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-08-07,2019,8,7,Wednesday,31,2019-31,284.4,288.82,282.04,287.97,140572300.0,279.1,0.0005907988333255787,286.96785714285716,283.2578
2019-08-08,2019,8,8,Thursday,31,2019-31,289.62,293.62,289.01,293.62,87713900.0,284.58,0.019619887974140937,286.72214285714284,283.5816
2019-08-09,2019,8,9,Friday,31,2019-31,292.58,293.24,289.65,291.62,93730000.0,282.64,-0.006811580308508258,286.28785714285715,283.8518
2019-08-12,2019,8,12,Monday,32,2019-32,289.96,291.61,287.02,288.07,65527600.0,279.2,-0.012173103144161312,285.46,284.12579999999997
2019-08-13,2019,8,13,Tuesday,32,2019-32,287.74,294.15,287.36,292.55,94299800.0,283.54,0.015551426026504389,284.8442857142857,284.5
2019-08-14,2019,8,14,Wednesday,32,2019-32,288.07,288.74,283.76,283.9,135622100.0,275.16,-0.029567478012906823,283.72999999999996,284.5918
2019-08-15,2019,8,15,Thursday,32,2019-32,284.88,285.64,282.39,284.65,99556600.0,275.88,0.0026418798738774285,282.52785714285716,284.651
2019-08-16,2019,8,16,Friday,32,2019-32,286.48,289.33,284.71,288.85,83018300.0,279.95,0.014754881209080306,281.655,284.7562
2019-08-19,2019,8,19,Monday,33,2019-33,292.19,293.08,291.44,292.33,53571800.0,283.33,0.0120478381618907,281.07428571428574,284.874
2019-08-20,2019,8,20,Tuesday,33,2019-33,291.77,292.36,289.95,290.09,51596400.0,281.16,-0.007662617349311729,280.56642857142856,284.923
2019-08-21,2019,8,21,Wednesday,33,2019-33,292.48,292.86,291.72,292.45,49524700.0,283.44,0.008135445821910059,280.4007142857143,285.0188
2019-08-22,2019,8,22,Thursday,33,2019-33,293.23,293.93,290.4,292.36,51666400.0,283.36,-0.00030782167445730924,280.3828571428571,285.123
2019-08-23,2019,8,23,Friday,33,2019-33,290.92,292.76,283.47,284.85,149161500.0,276.08,-0.025687491612803703,280.45428571428573,285.05859999999996
2019-08-26,2019,8,26,Monday,34,2019-34,287.27,288.0,285.58,288.0,72423800.0,279.13,0.011058557816644221,280.4678571428571,285.0614
2019-08-27,2019,8,27,Tuesday,34,2019-34,289.54,289.95,286.03,286.87,66668900.0,278.03,-0.003923569174239971,280.39142857142855,285.04
2019-08-28,2019,8,28,Wednesday,34,2019-34,286.14,289.07,285.25,288.89,59696700.0,279.99,0.007041553209480966,280.06357142857144,284.99940000000004
2019-08-29,2019,8,29,Thursday,34,2019-34,291.72,293.16,290.61,292.58,57899400.0,283.57,0.01277283336884727,280.13,285.0176
2019-08-30,2019,8,30,Friday,34,2019-34,294.22,294.24,291.42,292.45,62901200.0,283.44,-0.00044425441184559045,280.43285714285713,284.9792
2019-09-03,2019,9,3,Tuesday,35,2019-35,290.57,291.58,289.27,290.74,69101400.0,281.79,-0.005847212135861479,280.30785714285713,284.9162
2019-09-04,2019,9,4,Wednesday,35,2019-35,293.14,294.06,292.31,294.04,46887300.0,284.98,0.011350471655661387,281.00928571428574,284.92379999999997
2019-09-05,2019,9,5,Thursday,35,2019-35,296.79,298.83,294.0,297.82,83258100.0,288.65,0.012855279877305836,281.9214285714286,285.0608
2019-09-06,2019,9,6,Friday,35,2019-35,298.17,298.76,297.42,298.05,49584300.0,288.87,0.0007724359824912153,282.55857142857144,285.20779999999996
2019-09-09,2019,9,9,Monday,36,2019-36,299.14,299.24,297.16,298.2,51260300.0,289.02,0.0005030798055505326,282.965,285.3378
2019-09-10,2019,9,10,Tuesday,36,2019-36,297.36,298.2,295.97,298.13,57947100.0,288.95,-0.0002347299607611264,283.52142857142854,285.43719999999996
2019-09-11,2019,9,11,Wednesday,36,2019-36,298.47,300.34,297.75,300.25,68821100.0,291.0,0.0071110409818768705,284.06142857142856,285.5262
2019-09-12,2019,9,12,Thursday,36,2019-36,301.25,302.46,300.41,301.29,72908700.0,292.01,0.0034638751796827183,284.67928571428575,285.6204
2019-09-13,2019,9,13,Friday,36,2019-36,301.78,302.17,300.68,301.09,62104800.0,291.82,-0.0006638384556643118,285.80357142857144,285.6648
2019-09-16,2019,9,16,Monday,37,2019-37,299.84,301.14,299.45,300.16,58191200.0,290.92,-0.0030888156866156757,286.6457142857143,285.6978
2019-09-17,2019,9,17,Tuesday,37,2019-37,299.94,301.02,299.75,300.92,41475500.0,291.65,0.002532020029991422,287.61857142857144,285.7772
2019-09-18,2019,9,18,Wednesday,37,2019-37,300.49,301.22,298.24,301.1,73375800.0,291.83,0.000598105524816761,288.4642857142857,285.853
2019-09-19,2019,9,19,Thursday,37,2019-37,301.53,302.63,300.71,301.08,76560500.0,291.81,-6.650940051811105e-05,289.05285714285714,285.901
2019-09-20,2019,9,20,Friday,37,2019-37,300.36,300.67,297.41,298.28,89565000.0,290.43,-0.00472467773738372,289.5521428571429,285.9078
2019-09-23,2019,9,23,Monday,38,2019-38,297.55,299.0,297.27,298.21,43476800.0,290.36,-0.00023474412732504835,290.1642857142857,285.88719999999995
2019-09-24,2019,9,24,Tuesday,38,2019-38,299.41,299.84,294.81,295.87,94869400.0,288.08,-0.00784664603362173,290.3857142857143,285.81899999999996
2019-09-25,2019,9,25,Wednesday,38,2019-38,295.96,298.11,294.33,297.62,71854000.0,289.79,0.0059146041877342626,290.46714285714285,285.8038
2019-09-26,2019,9,26,Thursday,38,2019-38,297.63,297.86,295.45,297.0,56179700.0,289.18,-0.0020831562792665848,290.4892857142857,285.81600000000003
2019-09-27,2019,9,27,Friday,38,2019-38,297.83,297.95,293.69,295.4,84746600.0,287.62,-0.005387242127560143,290.3892857142857,285.7758
2019-09-30,2019,9,30,Monday,39,2019-39,295.97,297.55,295.92,296.77,51662400.0,288.96,0.004637842250550861,290.39,285.7946
2019-10-01,2019,10,1,Tuesday,39,2019-39,297.74,298.46,293.0,293.24,88242400.0,285.52,-0.011894934904623344,289.99857142857144,285.73060000000004
2019-10-02,2019,10,2,Wednesday,39,2019-39,291.5,291.51,286.64,288.06,122539500.0,280.48,-0.017664499772337194,289.175,285.5244
2019-10-03,2019,10,3,Thursday,39,2019-39,287.81,290.45,284.82,290.42,85278800.0,282.77,0.008192763271281933,288.5285714285714,285.3366
